Artist Name,Track Name
Gardiner+Sisters,Like+I+Can
Nick+Mulvey,Fever+To+The+Form
"Nashville+Cast,+Lennon+&+Maisy",Ho+Hey
Vance+Joy,Mess+Is+Mine
James+Bay,When+We+Were+On+Fire+-+The+Dark+Of+The+Morning+Version
Maddi+Jane,Impossible+(Acoustic)
Ed+Sheeran,I%27m+A+Mess
You+Me,You+and+Me
Lily+&+Madeleine,Devil+We+Know
Lennon+&+Maisy,Boom+Clap
Alex+Cornell,Sex+On+Fire
William+Fitzsimmons,Beautiful+Girl
Kacey+Musgraves,Apologize+(Acoustic+Version)
Johnnyswim,Home
Band+of+Horses,No+One%27s+Gonna+Love+You+-+Live+from+Spotify+Sweden
Craig+Cardiff,Dirty+Old+Town
Joshua+Hyslop,The+Flood
John+Mayer,Quiet+-+EP+Version
Megan+&+Liz,Best+Thing+I+Never+Had+(made+famous+by+Beyonc_)
Maroon+5,Misery+-+Acoustic
The+Goo+Goo+Dolls,Acoustic+#3
